chunk_id,text,Fear,Anger,Hope,Confusion,Outrage,Uncertainty,Empathy,Neutral
0," Et pour essayer de comprendre un peu plus ce qu'il s'est dit à Munich avec nous, Richard Verlie.",0,0,0,1,0,0,0,0
1,Bonjour.,0,0,0,0,0,0,0,1
2,"Vous êtes justement à Munich, vous couvrez pour le magazine suisse Blick, cette conférence sur la sécurité.",0,0,0,0,0,0,0,1
3,"Richard Verlie, le moins que l'on puisse dire, c'est que les Européens sont toujours sous le choc interloqué par cet attaque du vice-président américain sur la démocratie en Europe.",0,0,0,1,0,0,0,0
4,"Oui, ils ont compris une chose les Européens, c'est qu'au fond, une forme de guerre culturelle est déclarée par l'administration américaine.",1,0,0,0,1,0,0,0
5,"Cette administration américaine par la voix du vice-président J. de Vence, c'était vendredi, a clairement fixé l'objectif.",0,0,0,0,0,0,0,1
6,"L'Europe doit respecter ce que les États-Unis considèrent comme la démocratie, c'est-à-dire doit donner davantage la parole aux formations d'extrême droite.",0,0,0,1,1,0,0,0
7,"L'Europe doit également déréguler, donc abandonner sa passion des normes.",0,0,0,0,1,0,0,0
8,"Et enfin, dernier élément, c'est très important, l'Europe doit retrouver la liberté d'expression, puisque selon Elon Musk, vous le savez, il l'a souvent dit, selon Donald Trump et selon J. de Vence, aujourd'hui, cette liberté d'expression est baïonnée sur le continent.",0,0,0,0,1,1,0,0
9,"Donc vous imaginez le choc qui a représenté une telle affirmation dans un discours assez agressif, lors d'une conférence sur la sécurité qui, normalement, à Munich chaque année, célèbre l'alliance entre les États-Unis et les Européens.",0,0,0,1,1,0,0,0
10,Que vous inspirez les premières réactions enregistrées?,0,0,0,1,0,0,0,0
11,"On a aperçu Olaf Scholz tout à l'heure, les Allemands sans son indigné, idem pour la France.",0,0,0,0,0,0,0,0
12,Est-ce que c'est une posture?,0,0,0,1,0,0,0,0
13,"De la mesure où on s'imagine que chez les Hongois de Victor-Orban, par exemple, le message n'a pas été reçu de la même manière.",0,0,0,0,0,1,0,0
14,"Alors je crois qu'il faut bien comprendre que ce lieu, Munich, où je me trouve maintenant, est un lieu où depuis plus d'un demi-siècle est célébré l'alliance entre les États-Unis et l'Europe.",0,0,0,0,0,0,0,1
15,"C'est au fond véritablement l'endroit où l'on se félicité d'appartenir à l'OTAN, l'Organisation du Traité de l'Atlantique Nord.",0,0,0,0,0,0,0,1
16,"Donc vous imaginez la révolution culturelle que doivent faire tous les participants européens, qui découvrent maintenant les États-Unis qui ne sont plus prêts à assumer leur leadership, comme l'a d'ailleurs dit le secrétaire à la défense américaine.",0,0,0,0,0,1,0,0
17,"Alors côté réaction, je crois que les Allemands étaient très clairs.",0,0,0,0,0,0,0,1
18,"Le chancelier Olaf Scholz a dit qu'une telle attitude était inacceptable, une telle ingérence dans les affaires européennes.",0,0,0,0,1,0,0,0
19,"Et le ministre allemand de la défense lui, il a carrément dit que c'était une attaque contre la démocratie.",0,0,0,0,1,0,0,0
20,"Seulement le problème c'est qu'en Allemagne, il y a une date à retenir.",0,0,0,1,0,0,0,0
21,"Ces dimanches prochains, dans une semaine exactement, ce sera les élections législatives.",0,0,0,0,0,0,0,1
22,Ça veut dire que le destin politique de l'Afscholz selon les sondages est scellé puisqu'il est donné perdant.,0,0,0,0,0,1,0,0
23,"Il y a, Richard Verlie, cet article que vous signiez d'amplique.",0,0,0,1,0,0,0,0
24,"Trump et l'Europe, la guerre culturelle est déclarée.",1,0,0,0,1,1,0,0
25,Ce qui nous ramène à ce que vous disiez tout à l'heure au début de cet échange.,0,0,0,0,0,0,0,1
26,Guerre carrément.,0,0,0,1,0,0,0,0
27,"Oui, je le pense véritablement.",0,0,0,0,0,0,0,1
28,"Écoutez, quand vous voyez un vice-président américain d'abord faire l'aller-retour littéralement vendredi, il n'est pas resté plus longtemps alors que quand même on discute ici du sort de l'Ukraine, on discute de la sécurité du continent.",0,0,0,1,0,0,0,0
29,Ce sont des sujets extrêmement importants pour l'avenir des populations.,0,0,0,0,0,0,0,1
30,J. Devane s'il a juste fait un petit tour pour lancer cet avertissement extrêmement agressif.,1,0,0,0,1,0,0,0
31,"Oui, il s'agit bel et bien d'une guerre, d'une guerre pas au sens l'étal du terme, mais une guerre comme Donald Trump l'amène lui sur le plan commercial avec tous ses partenaires.",1,0,0,0,0,1,0,0
32,"Donc les Américains veulent obtenir gain de cause, ils veulent marquer des points, ils veulent gagner cette bataille culturelle et politique.",0,0,1,0,0,0,0,0
33,"Et pour eux, il y a des alliés qui sont désignés.",0,0,0,0,0,0,0,1
34,"Ce sont les partis d'extrême droite, les partis nationaux populistes, qui partout en Europe progressent.",1,0,0,0,0,1,0,0
35,Vous avez cité Victor Orban.,0,0,0,0,0,0,0,1
36,"Victor Orban, en quelque sorte, c'est l'allié du passé.",0,0,0,0,0,0,0,1
37,C'est celui qui est depuis longtemps dans les petits papiers de Donald Trump et d'ailleurs aussi de Vladimir Poutine.,0,0,0,0,0,1,0,0
38,"Mais la candidate du moment, celle d'ailleurs que J. Devane s'a rencontrée à Munich, c'est Alice Weidel, la chef de l'AFD, le parti d'extrême droite allemand.",0,0,0,0,0,0,0,1
39,"L'extrême droite allemand, deuxième dans les sondages jusqu'ici, derrière les conservateurs de Friedrich Merz.",0,0,0,0,0,0,0,1
40,"Face à cela, face à cette guerre Richard Verlich, elle a dit quels sont, sans mauvais jeu de mots, les armes de l'Europe.",0,0,0,0,0,1,0,0
41,"– Écoutez, c'est une bonne question.",0,0,0,0,0,0,0,1
42,On va le voir dans les urnes.,0,0,1,0,0,0,0,1
43,"Si les citoyens allemands décident dimanche prochain de ne pas donner prise à ce soutien affirmé des États-Unis, des lundmasques notamment pour l'extrême droite allemande, qui pour l'instant est contenée aux alentours de 20%, ça prouvera qu'il y a une capacité de résistance.",0,0,0,0,0,1,0,0
44,"Ça, c'est au niveau des électeurs.",0,0,0,0,0,0,0,1
45,"Ensuite, il y a la résistance des autres partis.",0,0,0,0,0,0,0,1
46,"Il y a un parti d'Angélain Merkel qui a été dirigé par Friedrich Merz, futur chancelier dit-on, et ce parti a promis de ne pas couverner avec la FD.",0,0,0,0,0,1,0,0
47,"C'est ce qu'en France, on a appelé le Front républicain.",0,0,0,0,0,0,0,1
48,"Donc, est-ce que ça va tenir les armes, l'arme électorale, dans les zones du pays, dans les zones de l'Europe ?",0,0,0,0,0,1,0,0
49,"– Oui, c'est ça.",0,0,0,0,0,0,0,1
50,"– Oui, c'est ça.",0,0,0,0,0,0,0,1
51,"– C'est-à-dire, voilà les armes, l'arme électorale dans les zones et ensuite l'arme des partis de gouvernement qui peuvent décider de maintenir hors du pouvoir ces partis.",0,0,0,1,0,0,0,0
52,"C'est le cas aussi en Autriche où pour l'instant, l'extrême droite n'arrive pas à former un gouvernement.",0,0,0,0,0,1,0,0
53,"– Pour en revenir à Munich, Volodymyr Zelensky-Richard Verli a évoqué l'idée d'une armée européenne, seule à même selon lui, de faire face à la Russie.",0,0,1,0,0,0,0,0
54,"Est-ce que c'est envisageable, faisable, possible, sachant qu'on l'a dit depuis la fin de la Seconde Guerre mondiale la seule structure de sécurité commune en Europe s'appelle l'OTAN ?",0,0,0,0,0,1,0,0
55,"– Écoutez, ce qui est une armée européenne, c'était très habile de la part de Volodymyr Zelensky, dont on connaît la capacité de réactivité et de communication.",0,0,0,0,0,0,0,1
56,Il a renvoyé la balle aux Européens.,0,0,0,0,0,0,0,1
57,"Il a dit, écoutez, vu la situation, votre seule solution pour sauver l'Ukraine, c'est effectivement une armée européenne dont nous, ukrainien, nous pourrions être un maillon essentiel, puisque aujourd'hui, l'Ukraine, on peut le dire, est quasiment l'armée la plus forte d'Europe au sens où c'est une armée aguerrie et qui maîtrise des technologies absolument décisives comme celles des drones.",0,0,1,0,0,0,0,0
58,"Maintenant, quelle forme ça pourrait prendre ?",0,0,0,1,0,0,0,0
59,"Alors il y aura cette réunion annoncée lundi à Paris, dont on ne connaît pas encore les contours, mais qui serait en quelque sorte la riposte à cette conférence de Munich.",0,0,0,0,0,1,0,0
60,"Ce qui est très probable, c'est que les Européens, au sein de l'OTAN qui, pour l'instant, demeurent, au sein de cette alliance, doivent absolument consolider un pilier européen, un pilier beaucoup mieux armé, donc il va falloir acheter ou fabriquer des armes, mais un pilier qui serait autonome des États-Unis, et là c'est toute la question, puisque les Américains sont contradictoires, d'un côté ils disent, ne regardez pas vers nous pour du leadership, désormais c'est à vous de vous assommer, ça c'est la version officielle, mais il y a une deuxième version, c'est celle du ministre de la Défense américain, qui a dit, il y a un nouveau chérif dans la ville, c'est Donald Trump, et en général le chérif, on doit lui obéir.",0,0,0,0,0,1,0,0
61,"Pete Hexett pour ne pas le citer, merci beaucoup.",0,0,0,0,0,0,0,1
62,"Richard Verlie, journaliste pour le journal suisse Blick, merci d'avoir apprendu à nos questions depuis Munich.",0,0,0,0,0,0,0,1
